name,image_url,source_page
Michael McCluskey,https://cssh.northeastern.edu/wp-content/uploads/2021/08/McCluskey-Headshot-400x400.jpeg,https://cssh.northeastern.edu/faculty/michael-mccluskey/
Jacques Alexis,https://cps.northeastern.edu/wp-content/uploads/2025/10/jacques-alexis-150x150.jpg,https://cps.northeastern.edu/faculty/jacques-alexis/
Ted Moss,https://cssh.northeastern.edu/wp-content/uploads/2020/01/ENG-Moss-web1-400x400.jpg,https://cssh.northeastern.edu/faculty/edward-moss/
Mauricio Codesso,https://damore-mckim.northeastern.edu/wp-content/uploads/2020/01/mauricio-codesso-headshot.jpg,https://damore-mckim.northeastern.edu/people/mauricio-codesso/
Leonard Glick,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Leonard_Glick.jpg,https://damore-mckim.northeastern.edu/people/leonard-j-glick/
Chris Bruell,https://cssh.northeastern.edu/wp-content/uploads/2021/09/Christopher-Bruell-Headshot-400x400.jpeg,https://cssh.northeastern.edu/faculty/christopher-bruell/
Shiawee Yang,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Yang-Shawee-194x199-1-400x400.jpg,https://cssh.northeastern.edu/faculty/shiawee-yang/
Samina Karim,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Samina-Karim-Headshot-Square-1040x1040.jpg,https://damore-mckim.northeastern.edu/people/samina-karim/
Roderick Ireland,https://cssh.northeastern.edu/wp-content/uploads/2020/01/CJ-Ireland-web-400x400.jpg,https://cssh.northeastern.edu/faculty/roderick-ireland/
Peter Fell,https://cps.northeastern.edu/wp-content/uploads/2024/06/DSC_002420-20Copy202822920-20Copy_0-1-150x150.jpg,https://cps.northeastern.edu/faculty/peter-fell/
Anjanette Chan Tack,https://cssh.northeastern.edu/wp-content/uploads/2021/09/Anjie-Harvard-Hutchins-photo-PS1-headshot-400x400.png,https://cssh.northeastern.edu/faculty/anjanette-chan-tack/
Molly Buchanan,https://cssh.northeastern.edu/wp-content/uploads/2023/08/Molly-Buchanan-400x400.jpeg,https://cssh.northeastern.edu/faculty/molly-buchanan/
Matthew Noonan,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Noonan-Matt-414-x-512-px-400x400.png,https://cssh.northeastern.edu/faculty/matthew-noonan/
John Kane,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/JohnKane_1-1-300x300.png,https://camd.northeastern.edu/people/john-kane/
Emily Mann,https://cssh.northeastern.edu/wp-content/uploads/2013/12/IMG_8818-400x400.jpeg,https://cssh.northeastern.edu/faculty/emily-mann/
Ryan Ellis,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/COM_Ellis_R1429024.rev_-e1542205236526-300x286.jpg,https://camd.northeastern.edu/people/ryan-ellis/
Hema Seshadri,https://cps.northeastern.edu/wp-content/uploads/2024/06/latha11_0-1-150x150.jpg,https://cps.northeastern.edu/faculty/hema-seshadri/
Eliza Osorio,https://cssh.northeastern.edu/wp-content/uploads/2013/08/Max-Abrahms-e1610134540361-400x400-c-default.jpg,https://cssh.northeastern.edu/faculty/eliza-osorio-castro/
